county_name,total,under1,under10k,under25k,under50k,under75k,under100k,under200k,over200k,fipscode
Liberty County,2590,40,330,740,800,310,190,180,0,48291
Madison County,7060,140,1140,2340,1840,720,430,380,70,51113
Manatee County,161210,3550,23530,40140,37480,20040,13050,17270,6150,12081
Marion County,150460,3430,24660,44300,37470,18210,10370,9540,2480,54049
Martin County,73490,2160,10710,15830,15280,8930,6190,9690,4700,48317
Miami-Dade County,1276280,23950,261650,411540,289770,116070,60250,75250,37800,12086
Monroe County,44850,1520,6170,10700,11160,5350,3140,4360,2450,55081
Nassau County,36740,640,4880,7720,8180,5280,3770,4870,1400,36059
Okaloosa County,97430,1440,13540,23760,23750,13180,8620,10590,2550,12091
Okeechobee County,14820,270,2410,4620,3960,1660,890,840,170,12093
Orange County,594440,9460,96710,180890,144750,63290,35990,46130,17220,51137
Osceola County,141450,1950,23940,48380,36810,14840,7470,6670,1390,26133
Palm Beach County,688990,18090,112130,171560,149000,77660,49450,73050,38050,12099
Pasco County,211920,3870,33540,54130,51510,28430,17530,19420,3490,12101
Pinellas County,461220,10180,70650,113680,115410,58850,34630,42150,15670,12103
Polk County,272310,3790,42590,80980,70420,33170,18810,18330,4220,55095
Putnam County,28220,520,5210,9070,6840,3180,1760,1420,220,54079
Santa Rosa County,70780,990,9830,15690,16470,10530,7120,8250,1900,12113
Sarasota County,197750,5740,28360,44590,45780,25640,16420,21440,9780,12115
Seminole County,211650,3900,31820,49480,50080,26890,17370,24240,7870,40133
St. Johns County,101990,2130,14180,18490,18980,13070,10180,17350,7610,12109
St. Lucie County,131470,2580,21550,37000,32510,16510,9600,9660,2060,12111
Sumter County,50560,980,5510,10240,10640,7940,6180,7420,1650,45085
Suwannee County,16040,360,2800,4900,4070,1890,1040,830,150,12121
Taylor County,8150,100,1370,2280,2060,990,630,620,100,55119
Union County,4460,60,660,1150,1360,600,330,260,40,47173
Volusia County,237090,5350,39670,65840,57760,29560,16720,17530,4660,12127
Wakulla County,12630,190,1720,2940,3450,1910,1250,1050,120,12129
Walton County,27790,830,4030,6870,6510,3350,2100,2710,1390,13297
Washington County,8950,150,1550,2630,2250,1150,600,540,80,55131
Appling County,7050,130,1210,2100,1640,870,500,520,80,13001
Atkinson County,3100,70,580,1130,840,280,110,90,0,13003
Bacon County,4180,90,760,1360,990,440,280,220,40,13005
Baker County,1210,40,210,400,300,120,70,70,0,41001
Baldwin County,16880,200,2720,5470,4010,1900,1150,1190,240,13009
Banks County,6870,120,1170,1880,1790,960,480,420,50,13011
Barrow County,31000,390,4660,7880,8260,4690,2680,2080,360,13013
Bartow County,42310,600,6850,10970,10640,5650,3340,3570,690,13015
Ben Hill County,6880,80,1370,2360,1670,650,380,320,50,13017
Berrien County,6750,150,1190,2120,1720,780,420,320,50,26021
Bibb County,67080,960,11760,21820,15120,7080,4050,4750,1540,13021
Bleckley County,4750,70,730,1380,1090,640,410,390,40,13023
Brantley County,6350,90,1140,1870,1560,890,450,330,20,13025
Brooks County,6290,120,1130,2090,1630,650,360,250,60,48047
Bryan County,15560,230,2240,3080,3360,2240,1700,2310,400,40013
Bulloch County,25480,440,5080,7360,5460,2900,1800,2010,430,13031
Burke County,9280,140,1500,3250,2250,970,540,550,80,38013
Butts County,9240,130,1430,2680,2390,1180,670,670,90,13035
Calhoun County,1990,40,320,730,520,160,110,110,0,54013
Camden County,21280,250,3070,5430,5300,3100,1930,1990,210,37029
